id,full_name,Free/CC Public Domain,Free/CC BY,Free/CC0,Free/RS NKC,Free with conditions/CC BY-SA,Free with conditions/CC BY-NC,Free with conditions/CC BY-NC-ND,Free with conditions/CC BY-NC-SA,Free with conditions/InC-EDU,Restricted/RS InC,Restricted/RS InC-RUU,Restricted/RS CNE,Restricted/RS UND
VSV:ARC,St Vincent's Hospital (Melbourne). / St Vincent's Hospital Melbourne Archives.,0,0,0,0,0,0,0,9,0,0,0,0,0
VSL,State Library Victoria.,4,2,0,4,0,0,1,2,0,1,0,0,0
VSL:NED,State Library Victoria. / National edeposit (VIC).,0,147,0,0,27,0,2,1,0,0,0,0,0
NSL,State Library of NSW.,0,1,0,34,0,0,1,2,0,1,0,0,0
NSL:NED,State Library of NSW. / National edeposit (NSW).,0,147,0,0,27,0,2,1,0,0,0,0,0
QSL,State Library of Queensland.,0,0,0,4,0,0,1,1,0,0,0,0,0
QSL:NED,State Library of Queensland. / National edeposit (QLD).,0,147,0,0,27,0,2,1,0,0,0,0,0
SSL,State Library of South Australia.,0,0,0,4,0,0,0,1,0,0,0,0,0
SSL:NED,State Library of South Australia. / National edeposit (SA).,0,147,0,0,27,0,2,1,0,0,0,0,0
WLB,State Library of Western Australia.,0,16,0,13,0,71,0,1,0,0,0,0,0
WLB:NED,State Library of Western Australia. / National edeposit (WA).,0,147,0,0,27,0,2,1,0,0,0,0,0
VSDH,Sunshine & District Historical Society Incorporated / Sunshine & District Historical Society Incorporated. Sunshine & District Historical Society Incorporated.,0,0,0,0,0,0,0,51,0,0,0,0,0
VSWT:DC,Swinburne University of Technology. / Swinburne Library. / Swinburne Commons.,402,4,2,0,36,7,4557,8,0,0,0,0,0
VTAR,Tarrangower History (Maldon & District).,0,0,0,0,0,0,0,162,0,0,0,0,0
VTAT,Tatura Historical Society / Tatura Historical Society. Tatura Irrigation & Wartime Camps Museum.,0,0,0,0,0,0,0,5245,0,0,0,0,0
VU:DC,The University of Melbourne. / Digitised collections.,0,0,0,0,0,0,0,20,0,0,0,0,0
VU:MHW,The University of Melbourne. / Melbourne History Workshop.,0,324,0,0,0,0,0,0,0,0,0,0,0
VUMC,The University of Melbourne. / Museums and Collections.,0,0,0,0,0,0,0,0,0,1,0,0,0
VU,The University of Melbourne. / The University of Melbourne Library.,0,0,0,11,0,0,1,2,0,0,0,0,0
QU,The University of Queensland. / University of Queensland Library.,0,0,0,4,0,0,0,1,0,1,0,0,0
QU:IR,The University of Queensland. / University of Queensland Library. / University of Queensland: Institutional Repository.,0,0,0,0,0,0,118,0,0,0,0,0,0
NU,The University of Sydney. / University of Sydney Library.,0,0,0,2,0,0,0,1,0,0,0,0,0
NU:IR,The University of Sydney. / University of Sydney Library. / University of Sydney: Institutional Repository.,0,1,0,0,0,0,1,0,0,0,0,0,0
VTFB,Thompson's Foundry Band Inc.,0,0,0,0,0,0,0,1519,0,0,0,0,0
VTRIN,Trinity College.,0,0,0,0,0,0,0,4,0,0,0,0,0
ANL:DL,Trove Digital Library.,0,1,0,5175,0,0,0,0,0,0,0,0,0
NUN,UNSW Sydney. / UNSW Library.,0,0,0,2,0,0,0,1,0,0,0,0,0
NUN:IR,UNSW Sydney. / UNSW Library. / University of New South Wales: Institutional Repository.,0,0,0,0,0,0,444,0,0,0,0,0,0
VUAR,Uniting Church Archives (Vic).,0,0,0,0,0,0,0,1925,0,0,0,0,0
SUA,University of Adelaide. / Barr Smith Library.,0,0,0,0,0,0,0,1,0,0,0,0,0
AUC:LR,University of Canberra. / National Centre for Australian Children's Literature.,0,0,0,0,0,0,0,1,0,0,0,0,0
NUNE:IR,University of New England. / Institutional Repository.,0,5,0,0,0,2,0,1,0,0,0,0,0
NNCU:A,University of Newcastle Library.,0,0,0,0,0,0,0,2,0,0,0,0,0
SUSA,University of South Australia. / University of South Australia Library.,0,0,0,0,0,0,0,0,0,1,0,0,0
SUSA:IR,University of South Australia. / University of South Australia Library. / University of South Australia: Institutional Repository.,0,4,0,0,0,0,0,0,0,0,0,0,0
TU,University of Tasmania.,0,0,0,0,0,0,0,1,0,0,0,0,0
TU:OR,University of Tasmania. / Library Open Repository.,1,9,0,0,0,3,7,0,0,0,0,0,0
TU:IR,University of Tasmania. / University of Tasmania. Institutional Repository.,0,0,0,0,0,0,2,0,0,0,0,0,0
NTSM:E,University of Technology Sydney. / UTS ePRESS.,0,5,0,0,0,0,0,0,0,0,0,0,0
NTSM,University of Technology Sydney. / University Library.,0,0,0,0,0,0,0,1,0,0,0,0,0
WU,University of Western Australia. / University of Western Australia Library.,0,0,0,4,0,0,0,1,0,0,0,0,0
VDEAF,Vicdeaf.,0,0,0,0,0,0,0,218,0,0,0,0,0
VPOL:M,Victoria Police Museum.,0,0,0,0,0,0,0,911,0,0,0,0,0
VVUT,Victoria University. / Victoria University Library.,0,0,0,0,0,0,0,1,0,0,0,0,0
VVBL,Victorian Bands' League.,0,0,0,0,0,0,0,21,0,0,0,0,0
VIP,Victorian Interpretive Projects.,0,0,0,0,0,0,0,309,0,0,0,0,0
WCLM,"WA Department of Biodiversity, Conservation and Attractions.",0,0,0,1,0,0,0,0,0,0,0,0,0
VWARR,Warrnambool and District Historical Society Inc..,0,0,0,0,0,0,0,2388,0,0,0,0,0
NUWS,Western Sydney University. / Library.,0,0,0,1,0,0,0,0,0,0,0,0,0
NUWS:IR,Western Sydney University. / Library. / Institutional Repository.,0,0,0,0,0,0,1,0,0,0,0,0,0
NUWS:G,Western Sydney University. / Whitlam Prime Ministerial Collection.,0,0,0,1,0,0,0,0,0,0,0,0,0
VWOOD,Wodonga Historical Society.,0,0,0,0,0,0,0,1155,0,0,0,0,0
VYML,Yarra Libraries.,0,0,0,0,0,0,0,1,0,0,0,0,0
VYRRM,Yarra Ranges Regional Museum.,0,0,0,0,0,0,0,1,0,0,0,0,0
VYMHS,Yarrawonga & Mulwala Historical Society.,0,0,0,0,0,0,0,430,0,0,0,0,0
